#,item_id,item,quantity,price_per_unit,price,has_sold,created_at,insert_time
48,8726551674423038,Cobalt Ore,6,43.33,260,false,2025-09-21T18:35:13Z,2025-09-21 15:26:56.371357
49,29555652201022495,Cobalt Ore,6,45,270,false,2025-09-21T18:35:12Z,2025-09-21 15:26:56.371477
50,11822838022865995,Cobalt Ore,6,46.17,277,false,2025-09-21T18:34:57Z,2025-09-21 15:26:56.371597
51,5911863048602257,Cobalt Ore,6,46.17,277,false,2025-09-21T18:34:20Z,2025-09-21 15:26:57.166798
52,5911863048602258,Cobalt Ore,6,46.17,277,false,2025-09-21T18:34:15Z,2025-09-21 15:26:57.167096
53,8726618778959973,Cobalt Ore,6,43.33,260,false,2025-09-21T18:32:38Z,2025-09-21 15:26:57.167428
54,8726618778959972,Cobalt Ore,6,43.33,260,false,2025-09-21T18:32:34Z,2025-09-21 15:26:57.167666
55,8726618758971539,Cobalt Ore,6,46.17,277,false,2025-09-21T18:26:49Z,2025-09-21 15:26:57.167849
56,8726618758971538,Cobalt Ore,6,46.17,277,false,2025-09-21T18:26:44Z,2025-09-21 15:26:57.168022
57,8726618758971538,Cobalt Ore,6,46.17,277,false,2025-09-21T18:26:43Z,2025-09-21 15:26:57.168191
58,15200543088116868,Cobalt Ore,6,46.67,280,false,2025-09-21T18:23:48Z,2025-09-21 15:26:57.168382
59,15200543088116869,Cobalt Ore,6,46.67,280,false,2025-09-21T18:23:45Z,2025-09-21 15:26:57.168551
60,7600629203272262,Cobalt Ore,6,48.33,290,false,2025-09-21T18:23:43Z,2025-09-21 15:26:57.168734
61,12948743396853479,Cobalt Ore,6,48.33,290,false,2025-09-21T18:23:36Z,2025-09-21 15:26:57.168946
62,12948743396853463,Cobalt Ore,6,48.33,290,false,2025-09-21T18:23:29Z,2025-09-21 15:26:57.169118
63,7600629203272262,Cobalt Ore,6,43.33,260,false,2025-09-21T18:22:47Z,2025-09-21 15:26:57.169286
64,1971139289678594,Cobalt Ore,6,45.83,275,false,2025-09-21T18:22:26Z,2025-09-21 15:26:57.169491
65,3941530898072317,Cobalt Ore,5,25,125,false,2025-09-21T18:16:58Z,2025-09-21 15:26:57.169611
66,14919045401284394,Cobalt Ore,5,20,100,true,2025-09-21T18:11:28Z,2025-09-21 15:26:57.169713
67,6756248368514306,Cobalt Ore,6,23.33,140,true,2025-09-21T18:10:56Z,2025-09-21 15:26:57.169806
68,8726618695074582,Cobalt Ore,2,25,50,true,2025-09-21T18:10:55Z,2025-09-21 15:26:57.169905
69,9008090611187858,Cobalt Ore,6,24.33,146,true,2025-09-21T18:06:39Z,2025-09-21 15:26:57.170005
70,9008090611187857,Cobalt Ore,6,24.33,146,true,2025-09-21T18:06:33Z,2025-09-21 15:26:57.170134
71,9289568609108136,Cobalt Ore,5,24.6,123,true,2025-09-21T18:06:22Z,2025-09-21 15:26:57.170345
72,9289568629621577,Cobalt Ore,5,24.8,124,true,2025-09-21T18:05:44Z,2025-09-21 15:26:57.170485
73,6474818403763955,Cobalt Ore,6,25,150,true,2025-09-21T18:05:36Z,2025-09-21 15:26:57.170698
74,9289568598425729,Cobalt Ore,1,30,30,true,2025-09-21T18:05:05Z,2025-09-21 15:26:57.170832
75,3097119091851543,Cobalt Ore,5,17.6,88,true,2025-09-21T18:02:22Z,2025-09-21 15:26:57.170941
76,2815644149352795,Cobalt Ore,6,20.17,121,true,2025-09-21T18:02:01Z,2025-09-21 15:26:57.171046
77,2815644149352794,Cobalt Ore,6,20.17,121,true,2025-09-21T18:01:57Z,2025-09-21 15:26:57.171168
78,6193343817842851,Cobalt Ore,5,17.8,89,true,2025-09-21T17:59:52Z,2025-09-21 15:26:57.171283
79,15200543117279289,Cobalt Ore,6,20.5,123,true,2025-09-21T17:59:26Z,2025-09-21 15:26:57.171409
80,15200543117279288,Cobalt Ore,6,20.5,123,true,2025-09-21T17:59:22Z,2025-09-21 15:26:57.171510
81,9289568365183045,Cobalt Ore,2,30,60,false,2025-09-21T17:59:19Z,2025-09-21 15:26:57.171611
82,5067443149340875,Cobalt Ore,6,29.5,177,false,2025-09-21T17:58:59Z,2025-09-21 15:26:57.171703
83,12948743300710835,Cobalt Ore,6,25,150,true,2025-09-21T17:58:34Z,2025-09-21 15:26:57.171796
84,12948743300710834,Cobalt Ore,6,25,150,true,2025-09-21T17:58:30Z,2025-09-21 15:26:57.171884
85,3660059508408708,Cobalt Ore,5,23,115,true,2025-09-21T17:50:43Z,2025-09-21 15:26:57.171966
86,7882193669521431,Cobalt Ore,6,24.83,149,true,2025-09-21T17:47:37Z,2025-09-21 15:26:57.172055
87,3660068953588633,Cobalt Ore,5,28,140,true,2025-09-21T17:47:34Z,2025-09-21 15:26:57.172142
88,7882193669521431,Cobalt Ore,5,29.8,149,true,2025-09-21T17:47:23Z,2025-09-21 15:26:57.172224
89,6756267881071446,Cobalt Ore,3,25,75,true,2025-09-21T17:46:45Z,2025-09-21 15:26:57.172309
90,4222995683607364,Cobalt Ore,6,25,150,true,2025-09-21T17:44:44Z,2025-09-21 15:26:57.172392
91,4222995683607365,Cobalt Ore,6,25,150,true,2025-09-21T17:44:41Z,2025-09-21 15:26:57.172475
92,16044967321403520,Cobalt Ore,6,25,150,true,2025-09-21T17:43:31Z,2025-09-21 15:26:57.172556
93,16044967321403519,Cobalt Ore,6,25,150,true,2025-09-21T17:43:25Z,2025-09-21 15:26:57.172638
94,4223002491882135,Cobalt Ore,5,28,140,true,2025-09-21T17:43:21Z,2025-09-21 15:26:57.172724
95,52636602963399074,Cobalt Ore,6,29.17,175,true,2025-09-21T17:42:58Z,2025-09-21 15:26:57.172805
96,14074502735727010,Cobalt Ore,6,29.67,178,false,2025-09-21T17:42:26Z,2025-09-21 15:26:57.172886
97,4504493923763778,Cobalt Ore,6,29.5,177,true,2025-09-21T17:40:07Z,2025-09-21 15:26:57.172972
98,4504493923763777,Cobalt Ore,6,29.5,177,true,2025-09-21T17:40:03Z,2025-09-21 15:26:57.173055
99,3097119038832721,Cobalt Ore,5,40,200,false,2025-09-21T17:39:48Z,2025-09-21 15:26:57.173137
